,Phrases,Pargraphs
0,python,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
1,cpython,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
2,released,"was released  years after ..

major or feature releases, occurred about every  months but with the adoption of a yearly release cadence starting with python ."
3,statements,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
4,language,"popularity

since , python has consistently ranked in the top ten most popular programming languages in the tiobe programming community index where, as of february , it is the third most popular language behind java, and c. it was selected programming language of the year for the highest rise in ratings in a year in , , , and  the only language to do so four times."
5,standard library,"programming examples

hello world program

printhello, world

program to calculate the factorial of a positive integer



n  intinputtype a number, and its factorial will be printed 



if n  

    raise valueerroryou must enter a nonnegative integer



factorial  

for i in range, n  

    factorial  i



printfactorial

libraries

pythons large standard library, commonly cited as one of its greatest strengths, provides tools suited to many tasks."
6,code,"the with statement, which encloses a code block within a context manager for example, acquiring a lock before the block of code is run and releasing the lock afterwards, or opening a file and then closing it, allowing resourceacquisitionisinitialization raiilike behavior and replaces a common tryfinally idiom."
7,compiler,"when speed is important, a python programmer can move timecritical functions to extension modules written in languages such as c, or use pypy, a justintime compiler."
8,division,"arithmetic operations

python has the usual symbols for arithmetic operators , , , , the floor division operator  and the modulo operation  where the remainder can be negative, e.g.     . it also has  for exponentiation, e.g."
9,indentation,"indentation

main article python syntax and semantics  indentation

python uses whitespace indentation, rather than curly brackets or keywords, to delimit blocks."
10,library,"due to pythons extensive mathematics library, and the thirdparty library numpy that further extends the native capabilities, it is frequently used as a scientific scripting language to aid in problems such as numerical data processing and manipulation."
